FECHA,RUTA,TURNO,TIPO RUTA,PUNTO,DESCRIPCION,HORARIO,HORARIO PROGRAMADO,HORARIO ETA PROMEDIO,DIFERENCIA,TAMAÑO MUESTRA,DESVIACION ESTANDAR
01/05/2026,LOMA LINDA - URDIÑOLA,Salida,N,11,BLVD SANTA LUCIA Y BLVD FUNDADORES,H1,07:15,,,,
01/05/2026,LOMA LINDA - URDIÑOLA,Salida,N,11,BLVD SANTA LUCIA Y BLVD FUNDADORES,H2,16:30,,,,
01/05/2026,LOMA LINDA - URDIÑOLA,Salida,N,11,BLVD SANTA LUCIA Y BLVD FUNDADORES,H3,19:15,,,,
01/05/2026,LOMA LINDA - URDIÑOLA,Salida,N,12,BLVD SANTA LUCIA Y CALLE 7,H1,07:16,,,,
01/05/2026,LOMA LINDA - URDIÑOLA,Salida,N,12,BLVD SANTA LUCIA Y CALLE 7,H2,16:31,,,,
01/05/2026,LOMA LINDA - URDIÑOLA,Salida,N,12,BLVD SANTA LUCIA Y CALLE 7,H3,19:16,,,,
01/05/2026,LOMA LINDA - URDIÑOLA,Salida,N,13,MEZQUITE Y NUECES,H1,07:25,,,,
01/05/2026,LOMA LINDA - URDIÑOLA,Salida,N,13,MEZQUITE Y NUECES,H2,16:40,,,,
01/05/2026,LOMA LINDA - URDIÑOLA,Salida,N,13,MEZQUITE Y NUECES,H3,19:25,,,,
01/05/2026,LOMA LINDA - URDIÑOLA,Salida,N,14,MEZQUITE Y GORDOLOBO,H1,07:30,07:19,11,1,0
01/05/2026,LOMA LINDA - URDIÑOLA,Salida,N,14,MEZQUITE Y GORDOLOBO,H2,16:45,,,,
01/05/2026,LOMA LINDA - URDIÑOLA,Salida,N,14,MEZQUITE Y GORDOLOBO,H3,19:30,19:06,24,1,0
01/05/2026,LOS HOYOS - MACUYU,Entrada,A,1,LOS HOYOS,H1,03:20,,,,
01/05/2026,LOS HOYOS - MACUYU,Entrada,A,1,LOS HOYOS,H2,15:20,,,,
01/05/2026,LOS HOYOS - MACUYU,Entrada,A,1,LOS HOYOS,H3,18:50,,,,
01/05/2026,LOS HOYOS - MACUYU,Entrada,A,1,LOS HOYOS,H4,19:20,,,,
01/05/2026,LOS HOYOS - MACUYU,Entrada,A,2,HUARICHE,H1,03:38,,,,
01/05/2026,LOS HOYOS - MACUYU,Entrada,A,2,HUARICHE,H2,15:38,,,,
01/05/2026,LOS HOYOS - MACUYU,Entrada,A,2,HUARICHE,H3,19:08,,,,
01/05/2026,LOS HOYOS - MACUYU,Entrada,A,2,HUARICHE,H4,19:38,,,,
01/05/2026,LOS HOYOS - MACUYU,Entrada,A,3,PRESA DE GUADALUPE,H1,04:08,,,,
01/05/2026,LOS HOYOS - MACUYU,Entrada,A,3,PRESA DE GUADALUPE,H2,16:08,,,,
01/05/2026,LOS HOYOS - MACUYU,Entrada,A,3,PRESA DE GUADALUPE,H3,19:38,,,,
01/05/2026,LOS HOYOS - MACUYU,Entrada,A,3,PRESA DE GUADALUPE,H4,20:08,,,,
